Original,Furigana,Level
局,きょく,N3
極,きょく,N3
巨大,きょだい,N3
嫌う,きらう,N3
霧,きり,N3
切れ,きれ,N3
切れる,きれる,N3
記録,きろく,N3
議論,ぎろん,N3
金,きん,N3
銀,ぎん,N3
禁煙,きんえん,N3
金額,きんがく,N3
金庫,きんこ,N3
禁止,きんし,N3
金銭,きんせん,N3
金属,きんぞく,N3
近代,きんだい,N3
緊張,きんちょう,N3
筋肉,きんにく,N3
金融,きんゆう,N3
金曜,きんよう,N3
句,く,N3
食う,くう,N3
偶然,ぐうぜん,N3
臭い,くさい,N3
鎖,くさり,N3
腐る,くさる,N3
癖,くせ,N3
具体,ぐたい,N3
下さる,くださる,N3
下り,くだり,N3
苦痛,くつう,N3
ぐっすり,ぐっすり,N3
区別,くべつ,N3
組,くみ,N3
組合,くみあい,N3
組む,くむ,N3
位,くらい,N3
暮らし,くらし,N3
クラシック,クラシック,N3
暮らす,くらす,N3
グラス,グラス,N3
グランド,グランド,N3
クリーム,クリーム,N3
繰り返す,くりかえす,N3
クリスマス,クリスマス,N3
グループ,グループ,N3
狂う,くるう,N3
苦しい,くるしい,N3
苦しむ,くるしむ,N3
暮れ,くれ,N3
苦労,くろう,N3
詳しい,くわしい,N3
加わる,くわわる,N3
訓,くん,N3
軍,ぐん,N3
軍隊,ぐんたい,N3
訓練,くんれん,N3
下,げ,N3
ケース,ケース,N3
ゲーム,ゲーム,N3
敬意,けいい,N3
経営,けいえい,N3
計画,けいかく,N3
景気,けいき,N3
経験,けいけん,N3
傾向,けいこう,N3
警告,けいこく,N3
計算,けいさん,N3
刑事,けいじ,N3
掲示,けいじ,N3
芸術,げいじゅつ,N3
契約,けいやく,N3
経由,けいゆ,N3
怪我,けが,N3
劇,げき,N3
劇場,げきじょう,N3
化粧,けしょう,N3
ケチ,ケチ,N3
結果,けっか,N3
欠陥,けっかん,N3
結局,けっきょく,N3
決心,けっしん,N3
欠席,けっせき,N3
決定,けってい,N3
欠点,けってん,N3
月曜,げつよう,N3
結論,けつろん,N3
煙,けむり,N3
券,けん,N3
県,けん,N3
軒,けん,N3
見解,けんかい,N3
限界,げんかい,N3
現金,げんきん,N3
言語,げんご,N3
健康,けんこう,N3
検査,けんさ,N3
現在,げんざい,N3
現実,げんじつ,N3
現象,げんしょう,N3
現状,げんじょう,N3
建設,けんせつ,N3
現代,げんだい,N3
建築,けんちく,N3
検討,けんとう,N3
検討,けんとう,N3
見当,けんとう,N3
現場,げんば,N3
憲法,けんぽう,N3
権利,けんり,N3
後,ご,N3
御,ご,N3
語,ご,N3
コーチ,コーチ,N3
コード,コード,N3
ゴール,ゴール,N3
恋,こい,N3
濃い,こい,N3
恋人,こいびと,N3
幸運,こううん,N3
講演,こうえん,N3
講演,こうえん,N3
効果,こうか,N3
硬貨,こうか,N3
高価,こうか,N3
豪華,ごうか,N3
合格,ごうかく,N3
交換,こうかん,N3
航空,こうくう,N3
光景,こうけい,N3
合計,ごうけい,N3
攻撃,こうげき,N3
貢献,こうけん,N3
広告,こうこく,N3
交際,こうさい,N3
後者,こうしゃ,N3
構成,こうせい,N3
高速,こうそく,N3
行動,こうどう,N3
強盗,ごうとう,N3
幸福,こうふく,N3
公平,こうへい,N3
候補,こうほ,N3
考慮,こうりょ,N3
越える,こえる,N3
氷,こおり,N3
凍る,こおる,N3
誤解,ごかい,N3
語学,ごがく,N3
呼吸,こきゅう,N3
国語,こくご,N3
黒板,こくばん,N3
克服,こくふく,N3
国民,こくみん,N3
穀物,こくもつ,N3
穀物,こくもつ,N3
腰,こし,N3
個人,こじん,N3
越す,こす,N3
国家,こっか,N3
国会,こっかい,N3
国境,こっきょう,N3
骨折,こっせつ,N3
小包,こづつみ,N3
事,こと,N3
異なる,ことなる,N3
諺,ことわざ,N3
断る,ことわる,N3
粉,こな,N3
粉,こな,N3
好み,このみ,N3
好む,このむ,N3
塵,ごみ,N3
小麦,こむぎ,N3
御免なさい,ごめんなさい,N3
小屋,こや,N3
これ等,これら,N3
頃,ころ,N3
殺す,ころす,N3
殺す,ころす,N3
転ぶ,ころぶ,N3
今回,こんかい,N3
今後,こんご,N3
混雑,こんざつ,N3
こんなに,こんなに,N3
困難,こんなん,N3
今日は,こんにちは,N3
混乱,こんらん,N3
差,さ,N3
サービス,サービス,N3
際,さい,N3
最高,さいこう,N3
財産,ざいさん,N3
最終,さいしゅう,N3
最中,さいちゅう,N3
最低,さいてい,N3
才能,さいのう,N3
裁判,さいばん,N3
材料,ざいりょう,N3
幸い,さいわい,N3
サイン,サイン,N3
境,さかい,N3
逆らう,さからう,N3
盛り,さかり,N3
作業,さぎょう,N3
作品,さくひん,N3
作物,さくもつ,N3
桜,さくら,N3
酒,さけ,N3
叫ぶ,さけぶ,N3
避ける,さける,N3
支える,ささえる,N3
指す,さす,N3
座席,ざせき,N3
誘う,さそう,N3
札,さつ,N3
作家,さっか,N3
ざっと,ざっと,N3
さっぱり,さっぱり,N3
偖,さて,N3
砂漠,さばく,N3
差別,さべつ,N3
作法,さほう,N3
様々,さまざま,N3
覚ます,さます,N3
覚める,さめる,N3
左右,さゆう,N3
皿,さら,N3
更に,さらに,N3
去る,さる,N3
猿,さる,N3
騒ぎ,さわぎ,N3
参加,さんか,N3
参考,さんこう,N3
賛成,さんせい,N3
酸素,さんそ,N3
氏,し,N3
詩,し,N3
ジーンズ,ジーンズ,N3
幸せ,しあわせ,N3
ジェット機,ジェットき,N3
直に,じかに,N3
然も,しかも,N3
叱る,しかる,N3
式,しき,N3
時期,じき,N3
支給,しきゅう,N3
頻りに,しきりに,N3
刺激,しげき,N3
資源,しげん,N3
事件,じけん,N3
時刻,じこく,N3
事実,じじつ,N3
支出,ししゅつ,N3
事情,じじょう,N3
詩人,しじん,N3
自身,じしん,N3
沈む,しずむ,N3
自然,しぜん,N3
思想,しそう,N3
舌,した,N3
次第,しだい,N3
事態,じたい,N3
従う,したがう,N3
従って,したがって,N3
支度,したく,N3
親しい,したしい,N3
質,しつ,N3
失業,しつぎょう,N3
実験,じっけん,N3
実現,じつげん,N3
実行,じっこう,N3
実際,じっさい,N3
実施,じっし,N3
凝乎と,じっと,N3
実は,じつは,N3
失望,しつぼう,N3
支店,してん,N3
指導,しどう,N3
指導,しどう,N3
自動,じどう,N3
品,しな,N3
支配,しはい,N3
芝居,しばい,N3
屡々,しばしば,N3
芝生,しばふ,N3
支払い,しはらい,N3
支払う,しはらう,N3
死亡,しぼう,N3
資本,しほん,N3
姉妹,しまい,N3
仕舞う,しまう,N3
仕舞った,しまった,N3
自慢,じまん,N3
事務,じむ,N3
示す,しめす,N3
占める,しめる,N3
下,しも,N3
霜,しも,N3
借金,しゃっきん,N3
喋る,しゃべる,N3
邪魔,じゃま,N3
ジュース,ジュース,N3
州,しゅう,N3
週,しゅう,N3
銃,じゅう,N3
周囲,しゅうい,N3
収穫,しゅうかく,N3
週間,しゅうかん,N3
宗教,しゅうきょう,N3
重視,じゅうし,N3
就職,しゅうしょく,N3
修正,しゅうせい,N3
渋滞,じゅうたい,N3
重大,じゅうだい,N3
住宅,じゅうたく,N3
集団,しゅうだん,N3
集中,しゅうちゅう,N3
収入,しゅうにゅう,N3
住民,じゅうみん,N3
重要,じゅうよう,N3
修理,しゅうり,N3
主義,しゅぎ,N3
宿泊,しゅくはく,N3
手術,しゅじゅつ,N3
手術,しゅじゅつ,N3
首相,しゅしょう,N3
手段,しゅだん,N3
主張,しゅちょう,N3
出身,しゅっしん,N3
出席,しゅっせき,N3
出発,しゅっぱつ,N3
出版,しゅっぱん,N3
首都,しゅと,N3
主婦,しゅふ,N3
主要,しゅよう,N3
需要,じゅよう,N3
種類,しゅるい,N3
順,じゅん,N3
瞬間,しゅんかん,N3
順調,じゅんちょう,N3
